star,region,constellation,security_status,connections
Jita,The Forge,Kimotoro,0.95,"['Ikuchi', 'Maurasi', 'Niyabainen', 'Perimeter', 'New Caldari', 'Sobaseki', 'Muvolailen']"
Ikuchi,The Forge,Ihilakken,0.99,"['Ansila', 'Hirtamon', 'Jita', 'Tunttaras', 'Sakenta']"
Maurasi,The Forge,Kimotoro,0.91,"['Itamo', 'Jita', 'Perimeter', 'Muvolailen']"
Niyabainen,The Forge,Kimotoro,0.96,"['Jita', 'Perimeter', 'New Caldari', 'Tunttaras']"
Perimeter,The Forge,Kimotoro,0.95,"['Urlen', 'Maurasi', 'Jita', 'Niyabainen', 'Iyen-Oursta']"
New Caldari,The Forge,Kimotoro,1,"['Hirtamon', 'Jita', 'Niyabainen', 'Josameto', 'Malkalen', 'Alikara']"
Sobaseki,Lonetrek,Koichi,0.84,"['Jita', 'Veisto', 'Funtanainen', 'Isanamo', 'Malkalen', 'Kakakela']"
Muvolailen,The Citadel,Outartoh,0.71,"['Maurasi', 'Jita', 'Paara', 'Annaro']"
Itamo,The Forge,Ruomo,0.67,"['Mitsolen', 'Jatate', 'Vaankalen', 'Kylmabe', 'Ahtulaima', 'Maurasi']"
Ansila,The Forge,Ihilakken,0.91,"['Hirtamon', 'Hykkota', 'Ikuchi']"
Hirtamon,The Forge,Ihilakken,0.97,"['Ansila', 'Ikuchi', 'New Caldari', 'Aokannitoh']"
Urlen,The Forge,Kimotoro,0.96,"['Unpas', 'Kisogo', 'Perimeter', 'Sirppala', 'Kusomonmon']"
Josameto,The Forge,Onirvura,0.58,"['New Caldari', 'Poinen', 'Liekuri', 'Otela']"
Veisto,Lonetrek,Koichi,0.84,"['Sobaseki', 'Iidoken', 'Sarekuwa']"
Funtanainen,Lonetrek,Koichi,0.86,"['Sobaseki', 'Isikemi', 'Aikoro', 'Kappas']"
Tunttaras,Lonetrek,Okela,0.89,"['Ikuchi', 'Niyabainen', 'Nourvukaiken', 'Sarekuwa', 'Ahynada', 'Ichinumi']"
Isanamo,Lonetrek,Makiriemi,0.64,"['Sobaseki', 'Uemisaisen', 'Iidoken', 'Saatuban', 'Isikano', 'Alikara']"
Malkalen,Lonetrek,Sela,0.95,"['New Caldari', 'Sobaseki', 'Amsen', 'Korama', 'Ylandoki']"
