solarSystemName,security
Tanoo,0.8583240688
Lashesih,0.7516891467
Akpivem,0.8462923524
Jark,0.8170005312
Sasta,0.8143367281
Zaid,0.8642291534
Yuzier,0.9065555105
Nirbhi,0.8821157148
Sooma,0.5778194816
Chidah,0.5390520130
Shenela,0.4569593547
Asabona,0.3228842725
Onsooh,0.4428166329
Shamahi,0.3552422911
Sendaya,0.2939329721
Nazhgete,0.3914970557
Futzchag,0.1722285598
Kazna,0.2312626250
Podion,0.1097049726
Lilmad,0.1604491933
Kuharah,0.18971
Jayneleb,0.1138399570
Fovihi,0.8693943492
Kiereend,0.8408345483
Rashy,0.8032659941
Ordize,0.6955641731
Psasa,0.7499132888
Eshtah,0.7684326314
Lachailes,0.5730512268
Kasrasi,0.5730756770
Mohas,0.6817834382
Hasiari,0.7981876171
Radima,0.7539199524
Alkez,0.7821229099
Nimambal,0.5940505703
Yishinoon,0.4247181820
Uplingur,0.4220693149
Dooz,0.4237288552
Bayuka,0.4007220365
Uzistoon,0.3906456008
Bairshir,0.3640877470
Moh,0.4728350039
Sari,0.3793431217
Faspera,0.1282584758
Jaymass,0.2163113398
Mifrata,0.3038029901
Majamar,0.3691862577
Ihal,0.4927012447
Camal,0.2129768849
Fera,0.4772463535
Juddi,0.6491366386
Maspah,0.7999009765
Ibaria,0.7309787225
Shala,0.7155637584
Zemalu,0.7251585253
Khankenirdia,0.6135958354
Nikh,0.7741984605
Amphar,0.7021869950
Salashayama,0.6655862314
Janus,0.5455705453
Agha,0.7187826208
Iosantin,0.4503433501
Orva,0.5099495888
Zet,0.5696976612
Akhrad,0.3584765248
Pirohdim,0.6286960900
Sharir,0.3968486870
Usroh,0.5974575081
Thiarer,0.5420327808
Gomati,0.3874213238
Jangar,0.5273286254
Nakah,0.3638643384
Irshah,0.4295066450
Hasateem,0.4264964120
Assah,0.2978021987
Tidacha,0.8200990448
Odlib,0.8245166009
Jofan,0.7795482038
Milu,0.7696253176
Yadi,0.7502684757
Buftiar,0.7087412966
Jarizza,0.7654309803
Ejahi,0.7289102352
Asghatil,0.7947781680
Bar,0.6658381295
Sucha,0.6582647871
Gelhan,0.7016764276
Akeva,0.6648348486
Sosa,0.3011790274
Ilahed,0.3159434659
Eshwil,0.2189684715
Aranir,0.2427886070
Ishkad,0.3660355384
Hahyil,0.2081148417
Asilem,0.2849976955
Mahnagh,0.2050033780
Shach,0.3260430802
Kehrara,0.3648440243
Arena,0.4423298817
Timeor,0.3141310687
Uhtafal,0.4996122855
Dysa,0.2361953092
Serad,0.5258363731
Mahti,0.2282817864
Abha,0.4341013131
Shedoo,0.5061177385
Gamis,0.4739061737
Nieril,0.3534402077
Berta,0.4895572339
Bekirdod,0.4053491153
Hothomouh,0.4229810281
Arnola,0.4628354025
Astabih,0.4088175891
Ubtes,0.3360732465
Bimener,0.2700411978
Kenobanala,0.2893983494
Khabi,0.2486186152
Uanzin,0.4339720254
Itamo,0.6717383428
Mitsolen,0.6337059450
Jatate,0.6374281330
Mahtista,0.6582375509
Vaankalen,0.6471703744
Kylmabe,0.7319313204
Ahtulaima,0.6126889152
Geras,0.6501464617
Sirseshin,0.7479928157
Tuuriainas,0.6108489266
Unpas,0.9459645526
Shihuken,0.8745849748
Nomaa,0.6069360862
Ansila,0.9120170099
Hirtamon,0.9747262069
Hykkota,0.8236534653
Outuni,0.7341722992
Ohmahailen,0.6638108229
Eskunen,0.6252939349
Ikuchi,0.9868146226
Urlen,0.9599952108
Maurasi,0.9127475930
Kisogo,1.0000000000
Jita,0.9459131167
Niyabainen,0.9639236003
Perimeter,0.9531232306
New Caldari,1.0000000000
Saisio,0.6524402583
Abagawa,0.6252975240
Jakanerva,0.7432522649
Gekutami,0.6991872083
Hurtoken,0.5859779984
Uoyonen,0.6987804104
Hampinen,0.5413266815
Poinen,0.5580525767
Liekuri,0.6006082952
Obanen,0.5617317332
Josameto,0.5776562929
Otela,0.53191
Olo,0.6760405466
Ikami,0.5320082852
Reisen,0.5185605593
Purjola,0.5205267610
Maila,0.4407153812
Akora,0.3246248762
Messoya,0.3150860242
Ishisomo,0.6508315431
Airmia,0.6231131515
Sakkikainen,0.5948887487
Friggi,0.5091529560
Ihakana,0.3808086781
Vahunomi,0.5315917757
Otitoh,0.4816668913
Otomainen,0.4791586004
Vattuolen,0.7080730712
Onuse,0.7404270630
Soshin,0.6342210277
Keikaken,0.7213192305
Ukkalen,0.6451198629
Akkilen,0.6890455733
Silen,0.5222028788
Osmon,0.6802642981
Korsiki,0.6431657594
Inaya,0.5523502238
Nuken,0.7613056823
Uminas,0.4839091542
Airaken,0.5039918822
Oijanen,0.3519686534
Wuos,0.5617738684
Hentogaira,0.5669582798
